,sentences
17200,perfect plan roger myers ' hotel
17201,know look like little competition sudden
17202,thanks everybody help brainy sister eliza
17203,owe thank lester eliza great vindication anybody take bath go paper fall door slam doorknob break
17204,like thank lester reunite estrange wife
17205,understand one solve problem
17206,guess need plan
17207,kid happy cute little cartoon friend air
17208,hello marge hello marge
17209,  movie rain ballgame return dyan cannon troy mcclure muppet film muppet medieval
17210,oh sir liesalot
17211,unhand swine swain come piggy hamelot
17212,frog iron pant get acquaint
17213,mop puppet man answer question know
17214,leather muppet troy mcclure oh ' s teen heartthrob
17215,yeah think turn weirdo
17216,know bizarre personal life weird thing aquarium hear
17217,homer urban legend people type thing fish troy mcclure perfect gentleman like bing crosby jfk wonder troy
17218,right captain rush rush car
17219,oh seein ' star
17220,uh afraid license
17221,say need corrective lense glass mister
17222,look kinda like nerd tell ya dmv tomorrow try pass eye test tear ticket uh go to ask bribe
17223,come chippendale dancer come renew license
17224,hey come revoke
17225,troy mcclure think disappear scandal aquarium
17226,hey think say troy mcclure dead
17227,say sleep fish
17228,fat tony eat huge plate dingamagoo
17229,oh troy mcclure
17230,nonsense troy mcclure remember film meet joe blow remain broadway star like need glass
17231,mr mcclure like glass read line
17232,celebrity wall know big star like
17233,uh think get repetitive stress disorder scratch butt day
17234,huge movie star good work
17235,thank hold end bargain pretty good time
17236,hey getta loada troy mcclure look like date
17237,hey homer sister law date troy mcclure
17238,troy mcclure wash movie star date wash supermodel
17239,oh dunno maybe rumor fish fetish true
17240,change pay movie heh possible
17241,troy man macarthur parker
17242,check friend favorite client
17243,yes see paper today troy look good wholesome stuff help try find work
17244,oh jury duty work listen get see public human female work entertainment industry
17245,happen dinner movie star wonderful night life
17246,smoke america low class
17247,excuse order zima emphysema
17248,smoke restaurant serve contemporary california cuisine lung
17249,troy sorry ruin evening um
17250,oh oh god fool
17251,sound like fall
17252,whatsa matter fun ya
17253,patty selma tell
17254,wanna jinx marge ask friday take special screening late film
17255,know smoke actually smell good come outta oh
17256,god like cigarette ohh head swim
17257,long canst conceal love wimple turtledove
17258,oh princess fair willst thou grant thine dainty hoof marriage
17259,tonight ' s leading man troy mcclure finally meet woman dream
17260,woman huh okay remember troy film verdict mail fraud leper backfield
17261,high profile romance troy manage shake rumor dog career news upcoming wedding rumor choice role
17262,look like wrong call wash deviant eh lori right
17263,sure iguana okay
17264,modern ultramodern like live distant future
17265,troy mac parker hear planet ape
17266,brand new multi million dollar musical star human
17267,help human escape
17268,talk talk talk talk talk talk
17269,oo help dr zaius
17270,dr zaius dr zaius dr zaius dr zaius dr zaius dr zaius oh dr zaius
17271,dr zaius dr zaius
17272,oh love legitimate theater
17273,yes finally monkey
17274,hi remember film strip locker room towel fight blinding larry driscoll
17275,remember kid dream ideal husband know dream come true
17276,oh come guess
17277,know know selma right
17278,aw hell dracula
17279,troy buddy get to know great guy like wanna marry guy like selma
17280,selma bouvi terwilliger bouvier fabulous troy mcclure lawful wed husband
17281,know couple d holy matrimony let speak forever hold peace
17282,pronounce husband wife kiss
17283,hey look snag marge candy bride groom wedding cake
17284,beautiful wedding see selma happy
17285,remind troy say interesting night bar apparently love selma marriage sham help career talk let snuggle
17286,marge close eye try sleep
17287,hey sleep been friend crowded schedule marriage scam pay big time
17288,troy darling come bed want troy mcclure remember film king montana electric gigolo
17289,oh care offer roll paramount want buddy comedy rob lowe hugh grant
17290,okay think want play mcbain sidekick brace new mcbain movie
17291,selma troy sure
17292,marge right wrong well find soon later
17293,wrong oh sister come case green eyed gazungas guess surprised stick menial job year die tie man bathe slob
17294,selma troy love squelch rumor bizarre personal life career
17295,know talk troy
17296,marry help career
17297,stop ask live lie know
17298,tell mr troy wild ride
17299,tonight hollywood wondering choose costar big new mcbain pic mcbain iv fatal discharge
17300,get to problem big part day go family man
17301,yeah role like get to pour uh wife get to baby
17302,send pamphlet uh listen buy kind p r have baby way insurance cover deductible reimburse baby
17303,okay listen let talk baby name use montana dakota florida take
17304,oh pacific northwest hot
17305,have child big step
17306,probably chance mommy
17307,cigarette mrs mcclure
17308,uh come comfortable
17309,have baby suppose work suppose expression feeling suppose
17310,look sorry loveless marriage thing hurt anybody bring child loveless family
17311,goodbye troy remember film
17312,come jub jub let home microwave nice roach
17313,bold stun hollywood insider newly divorce comeback kid troy mcclure turn supporting lead mcbain iv direct star pet project contrabulous fabtraption professor horatio hufnagel gambit pay twentieth century fox bet
17314,ah spring break hong kong custom suit slave labor price
17315,good lord get wrong
17316,yes principal seymour skinner
17317,afraid problem ticket ask center seat aisle seat specifically request kosher meal book flight leave saturday morning friday morning
17318,okay go ahead change day advance purchase price extra
17319,g m chrysler afford close school day early suit vacation think seymour think
17320,work parent day
17321,yes work parent day tomorrow learn apply knowledge fraction gym real world situation
17322,understand stay home watch mom work
17323,advocate woman workplace lis
17324,help mom workplace contain tv
17325,because will hire assistant
17326,honor bart lisa fine time plant dad interested nuclear power year
17327,sign numerous petition shut plant
17328,mom block tv need fill form
17329,  parent occupation note homemaker allow real work pay
17330,bart place plant
17331,oh want woman workplace
17332,aunt patty aunt selma d m v
17333,course course think
17334,day let line
17335,stick cracker factory like milhouse
17336,wonder cracker salted
17337,know cracker production exciting cracker peanut butter inside
17338,ah come son
17339,purple stuff inside purple fruit
17340,uh oh map nuclear site country safety inspector responsible change light bulb
17341,martin dollar invest
17342,soy soy soy
17343,martin million dollar
17344,lose get greedy martin
17345,sorry guess watch exciting
17346,maybe job fun
17347,houston problem homer spin control
17348,boy lot fun second person
17349,okay step get to laminate license week
17350,hot damn sittin ' dirt drive
17351,bart leave driver license make machine turn
17352,  year old year old d completely fake
17353,yes right milhouse fake make fake d
17354,fake d cool
17355,ticket good spring break life
17356,think thing wrong title
17357,whoa oh sorry mr s know got to check everybody
17358,kid compliment beer
17359,hey join party
17360,spring breeeaaak yeah go to rowdy
17361,maybe find decent d
17362,rent carpet shampooer
17363,greeting chum day work profitable sinful shopping spree wee world
17364,have good spring break life need nerde
17365,surely play small vacation fun
17366,oh yeah right like way kick big wad cash license drive
17367,oh boy flipsy go road trip
17368,gentleman road trip take liberty prepare airtight utterly plausible alibi use parent
17369,select represent school national grammar rodeo sheraton hotel canada
